participant_id,condition,freq,intensity,target_transition_index,target_transition_number,schedule_target_time_ms,analysis_target_time_ms,schedule_offset_ms,pre_window_ms,post_window_ms,pre_rmse,post_rmse,delta_rmse,peak_deviation,post_auc,n_pre_samples,n_post_samples
7_XJ,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,17.17069793252121,22.6161554070492,5.445457474527988,35.096446,103.70815407799998,208,208
7_XJ,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,7.31859573717377,16.842690492510556,9.524094755336787,36.845515,72.1661118215,214,212
8_SFM,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,12.103642392633525,12.51211176951229,0.40846937687876483,20.838818,53.397262321499994,203,201
8_SFM,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,5.413828288676544,11.355162825138711,5.9413345364621675,14.537259,55.530158894,205,205
8_SFM,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,11.528816305127462,12.640983394312665,1.1121670891852027,21.325945,56.702669512,205,207
8_SFM,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,12.673109238763931,8.210999186925575,-4.462110051838357,14.941907,35.731759631,207,200
8_SFM,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,9.177928834810764,9.78073030597806,0.6028014711672967,15.485826,45.61166681200001,202,204
8_SFM,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,3.6120803445145224,2.333022791844607,-1.2790575526699155,5.326965,10.061049257999999,211,203
9_LSS,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,4.115828569688013,11.191942037602846,7.076113467914833,15.642154,54.061201516000004,207,207
9_LSS,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,9.618768904381762,21.63719866952433,12.018429765142569,35.898,94.7618969765,210,215
9_LSS,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,8.345038721473495,21.353272057548526,13.008233336075032,33.228593,96.03245900350001,205,202
9_LSS,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,2.7541056261137267,18.685424380501157,15.93131875438743,25.881063,83.21018341349999,210,204
9_LSS,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,4.0293527559872855,11.604721677305692,7.575368921318407,19.111536,55.456707928,214,207
9_LSS,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,5.9863513219434035,13.798950038386561,7.812598716443158,20.98723,63.522004639,206,212
10_CYW,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,6.517180573891103,9.45653468252107,2.939354108629967,18.853304,39.119520868500004,209,206
10_CYW,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,15.674946119180262,42.3008013747031,26.625855255522836,90.480048,151.96425342199998,205,217
10_CYW,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,17.49729782607115,27.565145812224852,10.067847986153701,53.728805,114.0297047755,208,209
10_CYW,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,11.984518510475432,32.227974904933475,20.243456394458043,56.838086,141.640277211,209,213
10_CYW,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,5.492729002273766,7.768890895782285,2.276161893508519,12.940694,36.6750904405,213,205
10_CYW,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,4.272178017190234,11.95043320851622,7.678255191325985,22.11411,53.318626632499985,208,208
11_QSQ,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,3.5042970826459396,10.231416101219162,6.727119018573223,22.506248,44.157849068999994,207,210
11_QSQ,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,5.6246783117270835,12.506086453261041,6.881408141533957,24.338839,54.2159133335,201,207
11_QSQ,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,3.295526475376806,13.843764517968177,10.548238042591372,21.814088,65.5265390725,209,207
11_QSQ,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,3.766335230062123,9.28419555020213,5.517860320140007,16.854448,40.9518475025,208,207
11_QSQ,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,3.472182562053712,6.756073766884245,3.2838912048305327,14.229166,30.403694360000003,211,206
11_QSQ,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,2.491359609137726,7.013166468139595,4.5218068590018685,12.082969,33.4874316935,215,203
12_ZTH,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,12.18998969236416,15.69363917613673,3.50364948377257,21.904693,76.37298058399999,206,209
12_ZTH,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,6.821210198300841,17.16199717858857,10.34078698028773,33.772622,75.4878895425,209,205
12_ZTH,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,13.671376350174324,37.65834309472882,23.986966744554497,66.986557,163.54414708550001,203,202
12_ZTH,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,14.424390682297432,26.58417519997533,12.159784517677899,57.931116,108.91010266900001,196,201
12_ZTH,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,8.912649446869109,15.98321736280251,7.070567915933401,28.946905,73.262028891,203,201
12_ZTH,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,6.267685489184427,29.058880811102785,22.79119532191836,39.828647,135.6155672565,206,206
13_LQL,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,13.069976923222699,30.295976859804735,17.225999936582035,54.982683,136.76433006899998,210,220
13_LQL,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,18.39542150788885,24.257838582101726,5.862417074212875,43.125752,114.679725126,221,213
13_LQL,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,19.635850429519625,32.59524707494851,12.959396645428885,53.586918,145.9308788995,221,223
13_LQL,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,7.513687075353541,28.998532939322555,21.484845863969014,51.263977,129.7420715845,222,222
13_LQL,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,30.382939187057833,23.905827295694213,-6.47711189136362,42.755717,107.93439788700002,219,218
13_LQL,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,18.269304093928756,52.61002506160168,34.34072096767292,105.30899,233.7875640215,217,223
14_DWZ,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,6.377541118698108,15.225538641536437,8.847997522838329,25.165813,69.32940611000001,216,216
14_DWZ,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,10.129707815085244,18.961527032559786,8.831819217474543,29.605537,88.98357321450001,218,221
14_DWZ,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,7.440598232754656,17.19008757569932,9.749489342944663,30.649846,72.6457813265,221,221
14_DWZ,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,6.92731478674057,27.862991667109533,20.935676880368963,55.821767,122.37381020700002,221,216
14_DWZ,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,5.834883061591814,19.301746443812387,13.466863382220573,34.20226,87.16161432850001,227,213
14_DWZ,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,12.48086193962804,22.023189856172678,9.542327916544638,52.164318,95.1674501325,222,222
15_ZYJ,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,10.110394977003281,29.5081067140367,19.39771173703342,52.770782,133.35325745699998,221,219
15_ZYJ,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,10.672399948606408,24.2108776610787,13.538477712472293,42.071993,104.790596744,218,219
15_ZYJ,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,7.261843175327229,19.450098257087802,12.188255081760573,32.152278,87.043983817,212,214
15_ZYJ,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,7.557807563550371,32.21286580388989,24.65505824033952,68.331133,135.2849778625,216,216
15_ZYJ,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,6.956709450578894,23.85323151516084,16.896522064581944,46.521809,104.78430785950002,216,210
15_ZYJ,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,6.447317113495956,37.34426478182971,30.896947668333752,62.939366,176.492892081,215,211
