participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success
9_LSS,LI_MF,MF,LI,30000,LOW,MID,1.5,up,60000.0,333,214,205,5.463308897897897,3.621985127353063,6.042427289719626,0.5791183918217291,25.610057185028936,56.794,,25.610057185028936,7.394856453321617,0
9_LSS,LI_MF,MF,LI,60000,MID,LOW,1.5,down,90000.0,332,209,208,8.745127593373494,3.3388006828005965,4.872523172248803,-3.8726044211246915,-5.3810357760658025,11.360213,0.0,-5.3810357760658025,-3.4553484124689726,1
9_LSS,LI_MF,MF,LI,90000,LOW,MID,1.5,up,120000.0,332,210,210,4.884405310240964,3.1771204391122367,5.673350942857144,0.7889456326161799,14.777634937378082,29.19878,862.0,14.777634937378082,3.5010404717495573,1
9_LSS,LI_MF,MF,LI,120000,MID,LOW,1.5,down,150000.0,330,207,211,14.611926466666665,6.602263079086693,8.151672009661837,-6.460254457004828,-9.386970111216428,13.204736,0.0,-9.386970111216428,-6.658149354471543,1
9_LSS,LI_MF,MF,LI,150000,LOW,MID,1.5,up,180000.0,334,207,206,4.0203126257485025,1.0911415126459099,11.106898246376813,7.086585620628311,8.849999306290334,19.111536,,8.849999306290334,9.220700709179727,0
9_LSS,LI_MF,MF,LI,180000,MID,LOW,1.5,down,210000.0,335,213,206,11.491914083582088,6.839440278757474,4.1784449061032864,-7.313469177478802,-5.829654399116069,10.930609,0.0,-5.829654399116069,-2.9169149483163874,1
9_LSS,LI_MF,MF,LI,210000,LOW,MID,1.5,up,,333,213,211,7.538740054054054,1.423274069090324,12.337865619718308,4.799125565664253,13.2187209269886,27.092178,,13.2187209269886,2.77213565673026,0
9_LSS,HI_MF,MF,HI,45000,LOW,HIGH,3.0,up,60000.0,337,209,207,7.417327195845696,3.8715943433623097,12.252235808612442,4.834908612766745,6.967304485313725,23.343214,,6.967304485313725,5.471954539731226,0
9_LSS,HI_MF,MF,HI,60000,HIGH,LOW,3.0,down,105000.0,333,212,217,13.887170456456458,4.887160812620416,7.3425486556603765,-6.544621800796081,-10.117731156917287,15.777157,0.0,-10.117731156917287,-8.31401906515211,1
9_LSS,HI_MF,MF,HI,105000,LOW,HIGH,3.0,up,120000.0,333,212,207,7.174515759759759,4.366101930548778,14.51301908018868,7.338503320428922,12.615973761979374,32.29229,,12.615973761979374,8.439329620047934,0
9_LSS,HI_MF,MF,HI,120000,HIGH,LOW,3.0,down,165000.0,333,210,212,16.884316606606607,7.0430420578320545,6.687696547619049,-10.196620058987559,-10.846964238682078,17.537256,0.0,-10.846964238682078,-8.553046763469354,1
9_LSS,HI_MF,MF,HI,165000,LOW,HIGH,3.0,up,180000.0,328,212,209,9.010733295731708,4.692803734982832,12.766243103773585,3.755509808041877,7.751932637282643,33.447414,,7.751932637282643,4.627913618554006,0
9_LSS,HI_MF,MF,HI,180000,HIGH,LOW,3.0,down,225000.0,340,212,211,15.496689570588238,6.51687408919068,4.41390358018868,-11.082785990399557,-4.6682830113465315,18.2009,0.0,-4.6682830113465315,-8.047497080203623,1
9_LSS,HI_MF,MF,HI,225000,LOW,HIGH,3.0,up,,330,207,209,7.902265933333333,3.563084613426389,15.596079144927538,7.693813211594205,5.375784267623605,27.513645,,5.375784267623605,5.885332368992251,0
10_CYW,LI_HF,HF,LI,20000,LOW,MID,1.5,up,40000.0,331,212,204,3.5368902507552873,1.6953989822686493,13.13015296226415,9.593262711508864,5.012062705127065,20.478633,,5.012062705127065,2.657855341661774,0
