participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success,tail_t_start_ms,tail_n_samples,tail_mean_dev,tail_rmse_dev,tail_std_dev,tail_hit_ratio,tail_time_to_stable_ms,steady_n_samples,steady_mean_dev,steady_rmse_dev,steady_std_dev,steady_hit_ratio,steady_slope_dev,cumulative_delta_dev,mean_recover_success_ratio
5_WZM,HI_HF,HF,HI,240000,HIGH,TAIL,3.0,down,,325,198,206,14.969415080000001,7.855014170030137,3.1155647121212127,-11.853850367878788,-9.926436002330098,6.870811,0.0,-9.926436002330098,-10.994394340869565,1,240000,1840,3.9440189597826083,4.281545431834398,1.6662369968696844,1.0,327.0,1746,4.012659102520046,4.337819061007213,1.6477988751666628,1.0,-0.029212792347689736,2.225073909159744,0.45454545454545453
5_WZM,LI_LF,LF,LI,240000,MID,TAIL,1.5,down,,327,206,209,7.502855220183486,2.599464058747695,5.284595621359223,-2.218259598824263,-4.6398529091787015,10.433678,919.0,-4.6398529091787015,-4.565021176065839,1,240000,1852,4.706108454643629,5.16414084755639,2.1262393812861675,1.0,1251.0,1719,4.627726872600349,5.050847620539083,2.023661453533647,1.0,0.04823307572238402,3.9098250306667097,0.3333333333333333
5_WZM,HI_MF,MF,HI,240000,HIGH,TAIL,3.0,down,,331,205,209,14.257366329305135,6.320422446719252,6.800547297560976,-7.45681903174416,-10.982659224041978,14.393745,0.0,-10.982659224041978,-11.97913231407671,1,240000,1847,3.9912460005414183,4.525788932913466,2.13371057747862,1.0,4846.0,1566,3.6594920504469988,3.947873718337987,1.4811565847873838,1.0,0.004372876331207689,1.1541621447209078,0.42857142857142855
5_WZM,LI_MF,MF,LI,240000,MID,TAIL,1.5,down,,323,210,201,8.48518460371517,5.2835456369770615,3.4031124285714283,-5.082072175143742,-5.779618369884325,10.304692,0.0,-5.779618369884325,-3.2188599403005362,1,240000,1841,3.7487861667571973,4.317782508322486,2.1423930697016127,1.0,859.0,1721,3.724273040674027,4.259306453910248,2.0667563443304404,1.0,-0.0029758977766490987,0.9340951251209159,0.42857142857142855
5_WZM,HI_LF,LF,HI,240000,HIGH,TAIL,3.0,down,,342,210,210,17.01639100877193,8.406111733610713,4.910823433333333,-12.105567575438595,-11.539282889724312,8.885421,0.0,-11.539282889724312,-13.868994326307474,1,240000,1897,4.576429598840274,5.09036749311791,2.228930986336309,1.0,2358.0,1713,4.560682198482195,5.085866048787453,2.2508245934893525,1.0,-0.0314667637474803,0.8884027650080141,0.3333333333333333
5_WZM,BASE,BASE,NONE,240000,LOW,TAIL,0.0,down,,334,220,213,5.307874230538922,1.797540410161135,3.034922281818182,-2.27295194872074,-0.45224434790981416,8.759841,0.0,-0.45224434790981416,0.3167630914122972,1,240000,1899,3.9363076145339653,4.465864299862336,2.109366328674759,1.0,0.0,1808,3.933687581858407,4.483616702263396,2.1514926774563397,1.0,-0.0042868243127374165,,
6_HRB,BASE,BASE,NONE,240000,LOW,TAIL,0.0,down,,327,204,202,2.7677409051987767,1.1118201548902134,2.2047303970588237,-0.563010508139953,0.871977401731916,7.675045,0.0,0.871977401731916,0.5041826375147913,1,240000,1824,2.7275881217105264,3.0969853960659344,1.4668270456155752,1.0,0.0,1744,2.712910572821101,3.0987405901945433,1.4974342954516282,1.0,-0.02284024069182561,,
6_HRB,HI_HF,HF,HI,240000,HIGH,TAIL,3.0,down,,321,196,209,7.081104576323988,3.220401091686925,3.7737885459183667,-3.3073160304056217,-4.60521327967327,8.134477,0.0,-4.60521327967327,-4.7063641893893156,1,240000,1805,2.480327474238227,2.827053368826482,1.3565420637533425,1.0,12532.0,1218,2.2824738070607555,2.5772197556200083,1.1968186950577089,1.0,0.011809381043328609,0.49944298694540445,0.45454545454545453
6_HRB,HI_MF,MF,HI,240000,HIGH,TAIL,3.0,down,,326,203,203,8.633657619631903,4.630754658458985,2.55848654679803,-6.075171072833873,-5.809153062981657,7.733426,0.0,-5.809153062981657,-7.218920246497574,1,240000,1831,2.2964785849262697,2.5901365015268016,1.1979120191051331,1.0,2704.0,1640,2.264769326219512,2.53865692871634,1.1469955975219328,1.0,-0.024052974369892757,0.8045384290054906,0.42857142857142855
6_HRB,HI_LF,LF,HI,240000,HIGH,TAIL,3.0,down,,335,204,204,9.823157325373135,4.781283892398794,3.0560743333333336,-6.767082992039802,-7.15659429105941,7.496987,0.0,-7.15659429105941,-7.798342080275097,1,240000,1829,2.573780155822854,2.961391962097323,1.4647518775093338,1.0,3054.0,1623,2.5130698447319775,2.919283641820609,1.4854955189768138,1.0,-0.011746541869462205,2.845625371733229,0.3333333333333333
