participant_id,condition,n_events,peak_mean,peak_p95,imm_mean,rec_mean,delta_mean,delta_med,trec_med,trec_mean,recover_success_rate,resid_5_10s_mean,freq,intensity
5_WZM,HI_HF,11,28.068333181818183,43.537073500000005,12.705521926594052,0.8793727107807904,2.2250739091597445,6.773475583606357,0.0,0.0,0.45454545454545453,0.8793727107807904,HF,HI
5_WZM,HI_LF,3,26.950188999999998,32.7568781,11.177163092107584,-0.4964650534730968,0.8884027650080141,8.647447394395282,0.0,0.0,0.3333333333333333,-0.4964650534730968,LF,HI
5_WZM,HI_MF,7,23.217321,39.39088829999999,10.653609887162764,1.9948151651225097,1.1541621447209074,7.569465234552088,0.0,0.0,0.42857142857142855,1.9948151651225097,MF,HI
5_WZM,LI_HF,11,21.201689181818182,33.085161,6.690804094383014,1.2951420881186186,-1.3856692820509768,0.3806413744725416,0.0,0.0,0.5454545454545454,1.2951420881186186,HF,LI
5_WZM,LI_LF,3,19.023041000000003,21.3022176,8.542816458051144,3.0844668195971146,3.9098250306667097,4.388884221644293,3934.0,3934.0,0.3333333333333333,3.0844668195971146,LF,LI
5_WZM,LI_MF,7,16.21287242857143,25.783403499999995,6.23241094972618,1.2983424819752654,0.9340951251209161,1.3758584895214971,1082.0,923.0,0.42857142857142855,1.2983424819752654,MF,LI
6_HRB,HI_HF,11,15.385290363636363,22.950159,5.669699215804156,0.8827517652593173,0.4994429869454045,3.243492175797659,0.0,179.0,0.45454545454545453,0.8827517652593173,HF,HI
6_HRB,HI_LF,3,20.296158333333334,32.502207799999994,6.926553217261684,4.163252040217171,2.845625371733229,5.329497594219567,0.0,0.0,0.3333333333333333,4.163252040217171,LF,HI
6_HRB,HI_MF,7,15.711718571428573,25.3412336,5.939071163758176,0.8072905588944937,0.8045384290054906,3.862989455679012,0.0,0.0,0.42857142857142855,0.8072905588944937,MF,HI
6_HRB,LI_HF,11,10.952937909090908,15.790909,4.014516122793638,-0.3795403681311798,-0.4897680882001403,0.7491679187752109,0.0,1108.142857142857,0.6363636363636364,-0.3795403681311798,HF,LI
6_HRB,LI_LF,3,11.844827,15.2406145,3.69545271305302,2.5123932457774356,0.6918356541914993,1.7729763966853411,0.0,0.0,0.3333333333333333,2.5123932457774356,LF,LI
6_HRB,LI_MF,7,10.356525571428572,14.924773499999999,3.4342753138660114,1.005330904397489,-0.22820311991136774,0.4756467782776972,782.5,880.5,0.5714285714285714,1.005330904397489,MF,LI
7_XJ,HI_HF,11,34.13079463636364,48.245763,13.829131138764431,1.93769524710191,3.1413994930370026,5.796978433586574,31.0,606.0,0.45454545454545453,1.93769524710191,HF,HI
7_XJ,HI_LF,3,36.04335566666666,49.482018700000005,16.28619046938368,5.645647239854015,7.045843877736335,13.357837223516498,0.0,0.0,0.3333333333333333,5.645647239854015,LF,HI
7_XJ,HI_MF,7,32.95690442857143,41.4997798,16.050136261610692,-0.17474853903933507,3.847490969204152,8.05058779249886,0.0,259.3333333333333,0.42857142857142855,-0.17474853903933507,MF,HI
7_XJ,LI_HF,11,22.31395090909091,29.850289500000002,12.137824372180722,0.33860147343892494,0.41974695812386104,1.3918912266834766,0.0,1364.5,0.7272727272727273,0.33860147343892494,HF,LI
7_XJ,LI_LF,3,20.345909666666667,21.970636900000002,8.958403290646432,2.523607799016913,1.8674001496803108,3.251294772539601,494.0,494.0,0.3333333333333333,2.523607799016913,LF,LI
7_XJ,LI_MF,7,18.489145285714283,28.820992799999992,9.809174822900895,-0.9062220113729565,0.5499498546992939,1.2870377996692204,0.0,1582.6,0.7142857142857143,-0.9062220113729565,MF,LI
8_SFM,HI_HF,11,13.515556363636364,25.0336315,5.770303695204621,-0.3860371556688016,-0.5868422877330078,0.0444686216778267,0.0,879.1111111111111,0.8181818181818182,-0.3860371556688016,HF,HI
8_SFM,HI_LF,3,15.361270333333332,16.5121585,5.43661009403593,0.1948193979318892,-3.682614981175332,-2.8865237652531937,0.0,0.0,1.0,0.1948193979318892,LF,HI
8_SFM,HI_MF,7,19.589402857142858,30.715746299999996,8.104107982726314,-0.8026960065343687,-2.110709179367047,-0.8143864396713063,0.0,162.16666666666666,0.8571428571428571,-0.8026960065343687,MF,HI
8_SFM,LI_HF,11,21.673621909090908,35.568795,8.745786852478208,1.1778353905121492,-0.5746183059916989,-0.1376172808813303,0.0,338.22222222222223,0.8181818181818182,1.1778353905121492,HF,LI
8_SFM,LI_LF,3,15.920556666666668,20.2514203,7.9228608975006525,-2.698900928616029,-3.4481857370478366,-2.1158912782750736,0.0,515.6666666666666,1.0,-2.698900928616029,LF,LI
8_SFM,LI_MF,7,20.262176857142858,34.731697499999996,9.600232456754426,0.19004566073331017,-0.014849625295314714,-0.0063124661359932,2419.0,2600.5714285714284,1.0,0.19004566073331017,MF,LI
9_LSS,HI_HF,11,34.88426172727273,52.42868,15.906679472491573,2.222705278574159,2.5086232534641106,10.410456833543542,0.0,0.0,0.45454545454545453,2.222705278574159,HF,HI
9_LSS,HI_LF,3,39.26304666666667,58.0376688,17.11048905190107,6.158548515502717,7.167652680206802,13.115074688092744,0.0,0.0,0.3333333333333333,6.158548515502717,LF,HI
9_LSS,HI_MF,7,24.015982285714284,33.1008768,10.510246560138622,1.0111452493219215,-0.6001846996216355,3.755509808041877,0.0,0.0,0.42857142857142855,1.0111452493219215,MF,HI
